title,url,image,property_type,price,location,rooms,bathrooms,square_meters,floor
Piso en Imperial,https://www.pisos.com/comprar/piso-imperial-54231429386_100500/,https://fotos.imghs.net/mm-wp/1005/383/1005_249568378383_1_202603211159495934595.jpg,unknown,589.000 €,Imperial (Distrito Arganzuela. Madrid Capital),2 habs.,1 baño,83 m²,1ª planta
Piso en calle del General Pardiñas,https://www.pisos.com/comprar/piso-goya-63371755387_100500/,https://fotos.imghs.net/mm-wp/1005/859/1005_4247859_7_202604211910197855365.jpg,unknown,685.000 €,Goya (Distrito Barrio de Salamanca. Madrid Capital),2 habs.,1 baño,54 m²,5ª planta
Piso en Avenida Donostiarra,https://www.pisos.com/comprar/piso-concepcion28027-63358189300_500564/,https://fotos.imghs.net/mm-wp/500564/63358189300.500564/500564_63358189300_15_20260420133721672.jpg,unknown,490.000 €,Concepción (Distrito Ciudad Lineal. Madrid Capital),2 habs.,1 baño,63 m²,6ª planta
Piso en Chopera,https://www.pisos.com/comprar/piso-chopera-63420003876_100200/,https://fotos.imghs.net/mm-wp/1002/384/1002_654384_1_202604242023464091786.jpeg,unknown,390.000 €,Chopera (Distrito Arganzuela. Madrid Capital),2 habs.,1 baño,53 m²,1ª planta
Piso en Paseo de la Castellana,https://www.pisos.com/comprar/piso-tetuan-60887593163_100500/,https://fotos.imghs.net/mm-wp/1005/802/1005_4215802_1_2026012119010372328.jpg,unknown,1.295.000 €,Tetuán (Madrid Capital),4 habs.,3 baños,155 m²,6ª planta
Piso en calle Castelló,https://www.pisos.com/comprar/piso-recoletos-59214339425_100500/,https://fotos.imghs.net/mm-wp/1005/260/1005_269719489260_1_2025112716114826319.jpg,unknown,1.699.000 €,Recoletos (Distrito Barrio de Salamanca. Madrid Capital),3 habs.,3 baños,124 m²,bajo
Piso en calle de San Faustino,https://www.pisos.com/comprar/piso-san_blas_canillejas28022-55874507588_517810/,https://fotos.imghs.net/mm-wp/517810/55874507588.517810/517810_55874507588_84945cf7-df0e-40a4-8d0f-3896138c909c.jpg,unknown,750.000 €,Canillejas (Distrito San Blas. Madrid Capital),5 habs.,4 baños,190 m²,1ª planta
Piso en calle del Espíritu Santo,https://www.pisos.com/comprar/piso-universidad_malasana28004-62572956396_998146/,https://fotos.imghs.net/mm-wp/998146/62572956396.998146/998146_62572956396_75311515-4d8c-4a43-acf5-51519c7d40e9.jpg,unknown,399.000 €,Universidad-Malasaña (Distrito Centro. Madrid Capital),2 habs.,1 baño,85 m²,4ª planta
Piso en calle de José Arcones Gil,https://www.pisos.com/comprar/piso-ciudad_lineal_pueblo_nuevo28017-61729662602_108900/,https://fotos.imghs.net/mm-wp/1089/646/1089_XA449-8646_1_2026042305111031250.jpg,unknown,269.000 €,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),3 habs.,1 baño,70 m²,
Piso en calle de la Sierra de Monchique,https://www.pisos.com/comprar/piso-puente_de_vallecas_san_diego28053-61708317416_994867/,https://fotos.imghs.net/mm-wp/994867/61708317416.994867/994867_61708317416_ccf67ae3-c3e3-4b6a-9d86-d69b6c5c9bc1.jpg,unknown,183.000 €,San Diego (Distrito Puente de Vallecas. Madrid Capital),3 habs.,1 baño,68 m²,bajo
Piso en calle de Julián Camarillo,https://www.pisos.com/comprar/piso-san_blas_simancas-62567274533_100200/,https://fotos.imghs.net/mm-wp/1002/106/1002_651106_1_202603122054077245041.jpeg,unknown,729.900 €,Simancas (Distrito San Blas. Madrid Capital),4 habs.,2 baños,168 m²,2ª planta
Piso en calle del Balandro,https://www.pisos.com/comprar/piso-alameda_de_osuna_barrio-60078167202_100200/,https://fotos.imghs.net/mm-wp/1002/841/1002_639841_1_2025121113122218413.jpeg,unknown,425.000 €,Alameda de Osuna (Distrito Barajas. Madrid Capital),3 habs.,2 baños,98 m²,1ª planta
Piso en Río Rosas,https://www.pisos.com/comprar/piso-rio_rosas28003-63358120893_100200/,https://fotos.imghs.net/mm-wp/1002/438/1002_654438_1_202604131710062528764.jpeg,unknown,995.000 €,Río Rosas (Distrito Chamberí. Madrid Capital),3 habs.,2 baños,120 m²,2ª planta
